pattern,image_id,file_name,score,note,ir_tp,ir_fp,ir_fn,fusion_tp,fusion_fp,fusion_fn,num_gt
crowded_separation,230038,230038.jpg,7.2,"Crowded scene with 6 GTs. Fusion TP=6, IR TP=5.",5,1,1,6,1,0,6
crowded_separation,190470,190470.jpg,7.0,"Crowded scene with 5 GTs. Fusion TP=5, IR TP=4.",4,0,1,5,0,0,5
crowded_separation,210043,210043.jpg,7.0,"Crowded scene with 5 GTs. Fusion TP=5, IR TP=4.",4,0,1,5,0,0,5
crowded_separation,210123,210123.jpg,7.0,"Crowded scene with 5 GTs. Fusion TP=5, IR TP=4.",4,1,1,5,0,0,5
crowded_separation,210200,210200.jpg,7.0,"Crowded scene with 5 GTs. Fusion TP=5, IR TP=4.",4,0,1,5,0,0,5
crowded_separation,210402,210402.jpg,7.0,"Crowded scene with 5 GTs. Fusion TP=5, IR TP=4.",4,1,1,5,0,0,5
crowded_separation,220213,220213.jpg,7.0,"Crowded scene with 5 GTs. Fusion TP=4, IR TP=3.",3,1,2,4,0,1,5
crowded_separation,220324,220324.jpg,7.0,"Crowded scene with 5 GTs. Fusion TP=5, IR TP=4.",4,1,1,5,1,0,5
crowded_separation,220360,220360.jpg,7.0,"Crowded scene with 5 GTs. Fusion TP=4, IR TP=3.",3,1,2,4,0,1,5
crowded_separation,230118,230118.jpg,7.0,"Crowded scene with 5 GTs. Fusion TP=5, IR TP=4.",4,1,1,5,1,0,5
crowded_separation,230354,230354.jpg,7.0,"Crowded scene with 5 GTs. Fusion TP=5, IR TP=4.",4,1,1,5,0,0,5
crowded_separation,260361,260361.jpg,7.0,"Crowded scene with 5 GTs. Fusion TP=5, IR TP=4.",4,0,1,5,0,0,5
crowded_separation,190112,190112.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,0,1,4,0,0,4
crowded_separation,210011,210011.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=3, IR TP=2.",2,0,2,3,0,1,4
crowded_separation,210106,210106.jpg,6.8,"Crowded scene with 9 GTs. Fusion TP=6, IR TP=5.",5,0,4,6,2,3,9
crowded_separation,210239,210239.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,1,1,4,1,0,4
crowded_separation,220087,220087.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=3, IR TP=2.",2,1,2,3,1,1,4
crowded_separation,220102,220102.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,1,1,4,0,0,4
crowded_separation,220193,220193.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,0,1,4,0,0,4
crowded_separation,220259,220259.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=3, IR TP=2.",2,1,2,3,1,1,4
crowded_separation,220361,220361.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,0,1,4,0,0,4
crowded_separation,230418,230418.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,1,1,4,0,0,4
crowded_separation,240092,240092.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,0,1,4,0,0,4
crowded_separation,240491,240491.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=3, IR TP=2.",2,0,2,3,0,1,4
crowded_separation,260019,260019.jpg,6.8,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,1,1,4,1,0,4
crowded_separation,200242,200242.jpg,6.7,"Crowded scene with 6 GTs. Fusion TP=5, IR TP=4.",4,0,2,5,1,1,6
crowded_separation,210336,210336.jpg,6.7,"Crowded scene with 6 GTs. Fusion TP=6, IR TP=5.",5,0,1,6,1,0,6
crowded_separation,230048,230048.jpg,6.7,"Crowded scene with 6 GTs. Fusion TP=5, IR TP=4.",4,1,2,5,2,1,6
crowded_separation,260438,260438.jpg,6.5,"Crowded scene with 5 GTs. Fusion TP=4, IR TP=3.",3,0,2,4,1,1,5
crowded_separation,190183,190183.jpg,6.3,"Crowded scene with 4 GTs. Fusion TP=3, IR TP=2.",2,1,2,3,2,1,4
crowded_separation,200160,200160.jpg,6.3,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,1,1,4,2,0,4
crowded_separation,220055,220055.jpg,6.3,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,0,1,4,1,0,4
crowded_separation,220186,220186.jpg,6.3,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,0,1,4,1,0,4
crowded_separation,240342,240342.jpg,6.3,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,1,1,4,2,0,4
crowded_separation,260272,260272.jpg,6.3,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,1,1,4,2,0,4
crowded_separation,200029,200029.jpg,6.0,"Crowded scene with 5 GTs. Fusion TP=5, IR TP=4.",4,0,1,5,2,0,5
crowded_separation,240126,240126.jpg,5.3,"Crowded scene with 4 GTs. Fusion TP=4, IR TP=3.",3,0,1,4,3,0,4
crowded_separation,200139,200139.jpg,5.2,"Crowded scene with 6 GTs. Fusion TP=5, IR TP=4.",4,1,2,5,5,1,6
fp_reduction,190071,190071.jpg,13.0,Fusion reduced FP count from 2 to 0.,10,2,0,10,0,0,10
fp_reduction,190061,190061.jpg,11.5,Fusion reduced FP count from 2 to 0.,7,2,1,7,0,1,8
fp_reduction,190509,190509.jpg,10.5,Fusion reduced FP count from 2 to 0.,5,2,0,5,0,0,5
fp_reduction,210313,210313.jpg,10.0,Fusion reduced FP count from 2 to 0.,4,2,0,4,0,0,4
fp_reduction,230389,230389.jpg,10.0,Fusion reduced FP count from 2 to 0.,4,2,0,4,0,0,4
fp_reduction,190311,190311.jpg,9.0,Fusion reduced FP count from 1 to 0.,8,1,3,10,0,1,11
fp_reduction,190424,190424.jpg,9.0,Fusion reduced FP count from 2 to 0.,2,2,0,2,0,0,2
fp_reduction,260500,260500.jpg,9.0,Fusion reduced FP count from 2 to 0.,2,2,2,2,0,2,4
fp_reduction,190069,190069.jpg,8.5,Fusion reduced FP count from 4 to 3.,9,4,0,9,3,0,9
fp_reduction,190210,190210.jpg,7.5,Fusion reduced FP count from 2 to 1.,6,2,2,7,1,1,8
fp_reduction,190431,190431.jpg,7.5,Fusion reduced FP count from 1 to 0.,7,1,0,7,0,0,7
fp_reduction,190439,190439.jpg,7.5,Fusion reduced FP count from 1 to 0.,7,1,0,7,0,0,7
fp_reduction,190721,190721.jpg,7.5,Fusion reduced FP count from 1 to 0.,7,1,0,7,0,0,7
fp_reduction,210058,210058.jpg,7.5,Fusion reduced FP count from 2 to 1.,7,2,2,7,1,2,9
fp_reduction,260363,260363.jpg,7.5,Fusion reduced FP count from 2 to 1.,7,2,1,7,1,1,8
fp_reduction,190511,190511.jpg,7.0,Fusion reduced FP count from 2 to 1.,7,2,0,6,1,1,7
fp_reduction,190676,190676.jpg,7.0,Fusion reduced FP count from 1 to 0.,7,1,1,6,0,2,8
